,valid,date,time,hour,sky_coverage
93,2023-07-03 00:51:00,2023-07-03,00:51:00,0,CLR
94,2023-07-03 01:51:00,2023-07-03,01:51:00,1,CLR
95,2023-07-03 02:10:00,2023-07-03,02:10:00,2,BKN
96,2023-07-03 02:21:00,2023-07-03,02:21:00,2,OVC
97,2023-07-03 02:44:00,2023-07-03,02:44:00,2,OVC
98,2023-07-03 02:51:00,2023-07-03,02:51:00,2,OVC
99,2023-07-03 03:00:00,2023-07-03,03:00:00,3,BKN
100,2023-07-03 03:51:00,2023-07-03,03:51:00,3,FEW
101,2023-07-03 04:12:00,2023-07-03,04:12:00,4,BKN
102,2023-07-03 04:21:00,2023-07-03,04:21:00,4,OVC
103,2023-07-03 04:29:00,2023-07-03,04:29:00,4,OVC
104,2023-07-03 04:33:00,2023-07-03,04:33:00,4,BKN
105,2023-07-03 04:51:00,2023-07-03,04:51:00,4,BKN
106,2023-07-03 05:51:00,2023-07-03,05:51:00,5,CLR
107,2023-07-03 06:51:00,2023-07-03,06:51:00,6,CLR
108,2023-07-03 07:51:00,2023-07-03,07:51:00,7,CLR
109,2023-07-03 08:51:00,2023-07-03,08:51:00,8,CLR
110,2023-07-03 09:51:00,2023-07-03,09:51:00,9,CLR
111,2023-07-03 10:51:00,2023-07-03,10:51:00,10,CLR
112,2023-07-03 11:51:00,2023-07-03,11:51:00,11,BKN
113,2023-07-03 12:51:00,2023-07-03,12:51:00,12,BKN
114,2023-07-03 13:51:00,2023-07-03,13:51:00,13,CLR
115,2023-07-03 14:51:00,2023-07-03,14:51:00,14,SCT
116,2023-07-03 15:51:00,2023-07-03,15:51:00,15,CLR
117,2023-07-03 16:51:00,2023-07-03,16:51:00,16,CLR
118,2023-07-03 17:51:00,2023-07-03,17:51:00,17,CLR
119,2023-07-03 18:51:00,2023-07-03,18:51:00,18,CLR
120,2023-07-03 19:51:00,2023-07-03,19:51:00,19,FEW
121,2023-07-03 20:51:00,2023-07-03,20:51:00,20,SCT
122,2023-07-03 21:51:00,2023-07-03,21:51:00,21,CLR
123,2023-07-03 22:51:00,2023-07-03,22:51:00,22,BKN
124,2023-07-03 23:51:00,2023-07-03,23:51:00,23,BKN
125,2023-07-04 00:23:00,2023-07-04,00:23:00,0,OVC
126,2023-07-04 00:34:00,2023-07-04,00:34:00,0,OVC
127,2023-07-04 00:41:00,2023-07-04,00:41:00,0,OVC
128,2023-07-04 00:51:00,2023-07-04,00:51:00,0,OVC
129,2023-07-04 01:51:00,2023-07-04,01:51:00,1,OVC
130,2023-07-04 02:51:00,2023-07-04,02:51:00,2,SCT
131,2023-07-04 03:51:00,2023-07-04,03:51:00,3,BKN
132,2023-07-04 04:48:00,2023-07-04,04:48:00,4,OVC
133,2023-07-04 04:51:00,2023-07-04,04:51:00,4,OVC
134,2023-07-04 05:03:00,2023-07-04,05:03:00,5,OVC
135,2023-07-04 05:23:00,2023-07-04,05:23:00,5,BKN
